"","state","stateAbbr","year","newCases","newDeaths","totCases","stayHome","maskMandate","maskStrict"
"1","Alaska","AK",2020,45771,281,2777759,TRUE,TRUE,TRUE
"2","Alaska","AK",2021,105812,585,31089060,TRUE,TRUE,TRUE
"3","Alaska","AK",2022,131563,320,90529248,TRUE,TRUE,TRUE
"4","Alabama","AL",2020,361997,7190,32217670,TRUE,TRUE,FALSE
"5","Alabama","AL",2021,542463,9564,227663090,TRUE,TRUE,FALSE
"6","Alabama","AL",2022,626343,3772,502365518,TRUE,TRUE,FALSE
"7","Arkansas","AR",2020,225138,3676,18397551,FALSE,TRUE,TRUE
"8","Arkansas","AR",2021,341348,5192,144377805,FALSE,TRUE,TRUE
"9","Arkansas","AR",2022,389938,3238,309760103,FALSE,TRUE,TRUE
"10","Arizona","AZ",2020,520559,8864,46886988,TRUE,FALSE,FALSE
"11","Arizona","AZ",2021,860929,15365,350157500,TRUE,FALSE,FALSE
"12","Arizona","AZ",2022,896147,7464,769065776,TRUE,FALSE,FALSE
"13","California","CA",2020,2231552,25374,188572965,TRUE,TRUE,FALSE
"14","California","CA",2021,3068727,50473,1447254117,TRUE,TRUE,FALSE
"15","California","CA",2022,5831708,19757,3412133021,TRUE,TRUE,FALSE
"16","Colorado","CO",2020,347301,4814,23318945,TRUE,TRUE,TRUE
"17","Colorado","CO",2021,610395,5457,212502967,TRUE,TRUE,TRUE
"18","Colorado","CO",2022,707418,3102,543450795,TRUE,TRUE,TRUE
"19","Connecticut","CT",2020,185708,5995,17213690,FALSE,TRUE,TRUE
"20","Connecticut","CT",2021,324328,3165,126903933,FALSE,TRUE,TRUE
"21","Connecticut","CT",2022,382356,2260,296609768,FALSE,TRUE,TRUE
"22","District of Columbia","DC",2020,28983,786,3645834,TRUE,TRUE,TRUE
"23","District of Columbia","DC",2021,64665,425,18961405,TRUE,TRUE,TRUE
"24","District of Columbia","DC",2022,74863,172,55541346,TRUE,TRUE,TRUE
"25","Delaware","DE",2020,57512,1127,5154799,TRUE,TRUE,TRUE
"26","Delaware","DE",2021,121374,1273,41481853,TRUE,TRUE,TRUE
"27","Delaware","DE",2022,132652,709,102922695,TRUE,TRUE,TRUE
